X,Y,Z
-17,4,16516
-58,114,16546
379,31,16535
-112,-318,16533
277,91,16516
-113,90,-16526
284,-303,16549
-51,77,16533
-46,40,16537
286,15,16544
-98,28,16533
-48,56,16541
262,23,16551
-42,17,16545
-28,51,16552
-10,4,16525
258,29,16546
-56,15,16533
-51,13,16753
267,23,16565
-55,51,16757
-22,3,16537
-74,25,16553
374,34,16546
123,60,16531
298,50,16549
334,-303,16536
-97,75,16523
274,90,16516
-67,-273,16523
270,75,16554
-77,77,16549
272,-267,16539
-7,-269,16519
-87,111,16546
282,-266,16520
-64,-281,16535
261,50,16535
-38,64,16544
273,5,16756
-48,20,16546
-50,71,16528
268,28,16562
-12,37,16555
-98,28,16534
-14,37,16544
279,9,16528
-75,54,16542
-1034,-1533,16817
666,-263,16973
568,12,18266
1806,-520,17278
4535,101,16589
5894,333,15617
11137,1956,15682
13044,1115,12182
11668,265,7520
13236,-1220,2689
16250,-972,5117
15666,-2060,3254
16383,-1699,3800
16119,-1210,4098
15008,-1829,2326
16260,-1742,2469
16270,-1467,2904
16331,-2310,2769
16910,-2167,4185
15456,-2025,2523
17725,-1564,6162
13802,-1084,5516
17243,1243,13860
8887,-271,5629
9450,1802,13389
7073,1026,15146
5302,526,16329
2010,-716,15028
3865,-1312,16090
1165,-1005,15953
1652,-393,17442
174,-27,17487
253,-304,16649
-851,274,16021
-406,9,15554
-914,-129,16553
177,-1285,17261
560,-2866,16538
884,-3898,18714
1483,-5590,17936
-306,-6890,14141
3733,-8762,15404
-460,-10276,10497
5369,-12711,9552
3403,-14151,6603
3368,-14521,5689
3503,-14968,5826
2827,-14806,5520
3550,-15638,5487
3134,-15707,5440
3186,-14561,7307
1695,-14992,6498
2660,-14017,6858
1667,-14160,8449
1862,-12017,10153
1442,-11929,11796
23,-10126,12085
1691,-8080,13632
595,-7466,14585
1838,-6726,15214
1647,-2861,18619
1559,-4236,15996
1427,-1841,17123
387,-977,16780
1110,-389,16309
209,-344,17229
1139,-389,16615
1011,-543,16644
1910,-564,16862
847,-851,15784
627,-586,16880
-3173,-1004,16084
-3746,-1574,16042
-5734,-821,15582
-13448,-2097,11609
-13414,-1457,5600
-13950,-2114,9398
-14334,-2388,7021
-15635,-2337,4874
-14774,-1722,4552
-16666,-1740,3251
-15960,-1648,3578
-15869,-1181,3227
-15925,-1818,2572
-16800,-1286,2795
-16526,-1601,2831
-16446,-1633,3376
-16028,-1039,4834
-18048,-841,4844
-10600,-2986,10337
-8500,-4088,12509
-6470,-2843,15269
-4359,-2279,17713
-800,-3048,15572
2453,-2623,16304
3269,-1723,14261
2462,-991,15013
2726,-489,17504
2197,-1370,16379
3572,-1389,17700
2888,-1449,16794
3337,-1710,16845
1913,-345,17813
4268,-630,16075
-1100,4202,17507
1051,4120,14478
931,6020,12738
-2098,9546,14325
-1544,9778,13936
-3166,10762,15665
-1584,9627,12646
309,10969,14125
-189,10303,11658
28,10654,13359
-510,10222,11190
-801,11552,11927
-1217,11535,11096
-146,11633,10968
80,11765,11191
-144,11699,11382
273,11612,11247
-65,10924,10737
-720,10720,10649
-242,11163,13552
-313,9275,13540
-544,7518,12563
-2828,6747,14063
618,6324,16557
-1972,3795,13716
-686,3201,15680
820,2425,18500
-1560,-65,17038
-1418,194,19072
-999,-813,17771
-1544,-2809,14798
1358,-3406,16684
5709,-3681,18002
591,-980,17857
-14149,1535,15843
16212,-5540,16165
978,-1138,18277
-10607,1332,15994
15352,-5760,15163
-16141,4002,20784
16391,-7805,12295
-12659,2476,17871
3654,-2747,21809
-510,-3882,10029
-1485,1140,19381
-782,-211,18704
-625,-1403,14613
2009,-1427,14914
167,223,19993
8710,-1987,17690
-2006,-3287,14279
-14283,534,16222
-6746,-51,19045
23694,-9733,15459
-1860,-209,19946
-16185,-726,12993
4209,-405,19428
17134,-4287,17408
-15701,488,17821
-4573,2032,17689
26301,-9145,14377
-13964,2084,21354
-1682,581,15312
8896,-2854,16042
290,-870,17967
-3692,532,15834
2506,-755,17014
2141,-454,18295
-310,422,17751
1193,-164,15009
2570,34,15529
1066,-420,15238
-713,334,24556
-713,757,19024
1514,-1988,719
-49,-2073,18455
811,-2332,31846
-2470,-390,13972
-1210,-3450,494
4138,-1874,27609
350,-1097,23056
-1983,-3888,-2684
6865,2482,32504
1556,-1426,20957
-3705,-1674,1368
4641,1914,30027
2227,-599,26477
-2025,-374,539
2669,86,23420
55,-245,25554
-1747,-390,3980
92,-2426,9933
5293,2391,32504
-1371,-214,13591
-3323,-3240,-1800
1311,500,24355
3223,936,32504
-3640,-2133,1
-712,-1488,14276
6104,2732,32504
-1370,-2391,10869
-3351,-554,6582
6962,1421,31930
-11,-231,16710
-3842,297,4572
6977,1821,32262
-3170,-2160,6574
363,72,16027
2204,559,22016
-1063,-138,12826
-414,376,15058
532,1206,19598
-137,-149,14974
525,263,17273
-302,-1485,18248
1909,-1326,16022
1054,5933,14803
-2587,7468,15059
-3147,-968,19938
2160,-11160,16265
4177,-3891,15543
-4483,7906,18065
-3995,6602,21773
536,-10703,13153
4644,-6507,16362
1287,5759,14240
-4997,10320,19188
-3367,-3394,15645
2774,-10005,17446
4149,-415,15010
-5315,10827,17106
-4636,-121,17179
4918,-11963,17359
5623,-3850,16396
-3648,10276,17572
-5312,5797,15773
110,-10859,16329
5270,-9881,17997
2556,3147,15624
-8299,12544,17197
-1434,2871,16718
-313,-5474,16398
1721,-10312,17237
3989,-2852,15564
-4017,8410,14862
-2946,8690,17936
-1769,963,18547
611,-8813,17079
3889,-8794,15249
-920,3027,15301
-5529,8063,17306
-2664,954,17686
222,-2299,19041
820,-3775,13755
-1167,-1040,16052
-3946,1376,17653
-2653,-559,15069
-2540,73,16759
-2490,-157,16785
-3010,-638,15838
-2864,-287,16002
-3353,-575,17610
-3343,-1598,17007
-2802,-1479,16538
-2540,-1901,15789
-1826,-1141,16194
-3011,-1886,15886
-4156,-798,17647
-1576,-1072,16556
-1954,-890,16455
-589,-817,15971
-233,-1644,14560
-3191,522,17341
-1794,-178,16565
-543,-136,16763
-2500,544,17342
-13,-413,16784
-1096,-55,17025
-792,-250,16567
-141,-156,16036
1105,-630,17277
960,-866,16809
1477,-710,17172
1408,-685,16547
2308,-824,16550
2198,-947,16237
2938,-905,15797
3654,-992,16412
3756,-1153,15763
5214,-1264,16064
5525,-1598,15751
5876,-1233,15726
6324,-1304,15378
6636,-1395,15377
7705,-1056,14849
7927,-1297,14026
8840,-1076,14395
9802,-795,14044
9886,-763,13380
9961,-888,12911
10126,-350,12902
10934,-372,13114
11506,-364,11912
11893,-290,11465
12524,-30,11605
12547,46,10429
13034,-302,9379
13221,146,9876
13602,177,9267
15166,384,8703
13696,628,8210
15071,612,7639
15472,514,6446
15704,8,4739
15365,346,4072
16069,177,3869
16519,338,2745
16290,-36,2523
16986,552,2564
16723,60,1051
16411,290,433
16387,283,149
15979,-35,-587
16967,-88,-167
16074,190,-3
16514,28,161
17025,357,1412
16948,-9,1145
16186,-123,895
16654,627,2437
16617,250,2873
15580,572,2853
16055,826,3953
15890,-45,3416
15579,135,3851
16160,582,4786
16563,-69,4957
15403,571,6206
15427,269,6360
14277,245,6958
14119,335,7418
14477,-544,8236
14381,-326,9040
13489,-492,8662
15106,-829,10100
13149,-169,10722
13521,-643,11121
12351,-199,11159
11683,-838,11556
11035,-412,12187
12371,-744,12629
9203,-212,13527
9353,-828,14183
8103,-469,13764
7461,-454,14301
6919,-600,14970
5574,-204,15618
5380,0,15604
5175,-528,16142
4136,75,16114
4195,-154,16451
3129,-43,16957
1658,-599,15629
472,146,16851
724,-188,16323
-372,-100,17506
-2400,831,16547
-2987,548,16172
-4846,617,16042
-5357,205,15402
-5789,152,15649
-7346,241,15267
-8825,595,13958
-10020,54,13332
-10383,-120,12570
-11312,-513,12453
-12057,-136,11775
-12764,-472,10939
-13065,-478,10374
-13197,-838,10459
-14401,-473,9284
-13914,-451,8443
-14405,-1378,7145
-15023,-831,7950
-14790,-1406,6013
-15565,-1303,4692
-15832,-834,6698
-16186,-969,4606
-15800,-1799,3011
-16284,-1324,2602
-17000,-1230,1430
-15694,-1452,473
-16883,-1195,890
-16901,-2069,883
-16028,-2367,-232
-16558,-2135,-178
-15283,-2689,-677
-17740,-1637,-2583
-16038,-1781,-1882
-16678,-2084,-2779
-16450,-1624,-2005
-16318,-2105,-4117
-15711,-1638,-3371
-15506,-1611,-3931
-16569,-1653,-3967
-16235,-1616,-4131
-15829,-2152,-3541
-17007,-1187,-3371
-15598,-2176,-3777
-15890,-1436,-2372
-16096,-1435,-3048
-16375,-1408,-2018
-16737,-1559,-2575
-16187,-1596,-2405
-16364,-2074,1044
-16332,-1509,1629
-16839,-1591,479
-16992,-1352,1969
-15819,-1202,1856
-16210,-1388,3239
-16388,-1604,2802
-15829,-1158,4563
-15543,-1103,4295
-15111,-1659,6740
-16079,-673,6805
-14222,-1441,7032
-15407,-1159,7896
-13249,-1261,9315
-13376,-1098,8863
-14165,-934,10261
-13697,-948,9911
-11483,-1275,10643
-11748,-1353,11782
-10726,-1408,12904
-11288,-1180,12882
-11337,-1305,14242
-8170,-1298,13299
-8784,-992,13343
-8596,-670,14462
-7984,-533,15265
-5615,-684,14308
-5708,-406,16190
-5123,-440,16765
-3826,-661,15690
-4423,285,17197
-2377,-410,15496
-1452,-103,16907
-1379,-185,16130
-540,47,16632
-806,-174,15765
1564,370,18332
184,164,16038
588,562,16181
25,263,15258
658,334,17214
317,989,16932
-196,1575,16359
-259,1775,17488
514,1750,16624
-774,2439,16103
7,2802,16439
-768,3379,15815
-479,3639,16532
-811,3755,16103
-1254,4217,15738
-1195,4314,16043
-1579,5195,16073
-1858,5646,15461
-1788,6080,15533
-2632,6825,15638
-2272,6969,14972
-2633,6874,14814
-2648,7638,15153
